Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,wawrickí«road,wawrick road,
2011,Birmingham," Welshfarmí«Road,í«Quinton"," Welshfarm Road, Quinton",
2011,Birmingham,Westleyí«Road,Westley Road,
2011,Birmingham," Westleyí«Road,í«Acocksí«Green"," Westley Road, Acocks Green",
2011,Birmingham,Whiteí«Hartí«Publicí«House,White Hart Public House,
2011,Birmingham,Whiteí«Hartí«Publicí«House,White Hart Public House,
2011,Birmingham," Whiteheartí«pub,í«Gressellí«Lane"," Whiteheart pub, Gressell Lane",
2011,Birmingham," Williamí«Hillí«Bookmakers,í«Washwoodí«Heathí«Road"," William Hill Bookmakers, Washwood Heath Road",
2011,Birmingham," Williamí«Hillí«Bookmakers,í«Washwoodí«Heathí«Road"," William Hill Bookmakers, Washwood Heath Road",
2011,Birmingham,Williamí«Hillí«Washwoodí«Heathí«Road,William Hill Washwood Heath Road,
2011,Birmingham,Windwardí«Road,Windward Road,
2011,Birmingham,Windwardí«Road,Windward Road,
2011,Birmingham," Woodí«Endí«Road,í«Erdington"," Wood End Road, Erdington",
2011,Birmingham," Woodbridgeí«road,í«moseley"," Woodbridge road, moseley",
2011,Birmingham,Wrightí«Street,Wright Street,
2011,Birmingham,yardleyí«greení«road,yardley green road,
2011,Birmingham,yardleyí«roadí«acocksí«green,yardley road acocks green,
2011,Birmingham,Yardleyí«Woodí«Road,Yardley Wood Road,
2011,Birmingham,Yardleyí«Woodí«Road,Yardley Wood Road,
2011,Birmingham,Yewí«Treeí«carí«park,Yew Tree car park,
2011,Birmingham,Yewí«Treeí«Lane,Yew Tree Lane,
2011,Birmingham,Yewí«Treeí«publicí«houseí«carí«park.,Yew Tree public house car park.,
2011,Birmingham," Armadaí«Pub,í«Sladeí«Road,í«Erdington,í«Birmingham"," Armada Pub, Slade Road, Erdington, Birmingham",
2011,Birmingham," Armardaí«Pub,í«í«Gravellyí«Hill"," Armarda Pub,  Gravelly Hill",
