"Year","Area","Street","Street.2","Strange.HTML"
2011,"","Stechford P S ","Stechford P.S.",""
2011,"","Stechford Retail Park ","Stechford Retail Park.",""
2011,"","Stonehenge Croft Druids Heath","Stonehenge croft Druids heath",""
2011,"","Stoney Ln","Stoney Ln",""
2011,"","Stoney Ln","Stoney Ln",""
2011,"","Stoney Ln","stoney lane",""
2011,"","Stratford Heath  Spark Hill  Birmingham","STRATFORD HEATH, SPARK HILL, BIRMINGHAM",""
2011,"","Stratford Rd","stratford road",""
2011,"","Stratford Rd","Stratford road",""
2011,"","Stratford Rd","Stratford Rd",""
2011,"","Stratford Rd  Hall Green","stratford road, hall green",""
2011,"","Stratford Rds","stratford roads",""
2011,"","Stuart Rd  Stechford","Stuart Rd, Stechford",""
2011,"","Talbort St","talbort street",""
2011,"","Taunton Rd","Taunton Rd",""
2011,"","Tavistock Rd","Tavistock road",""
2011,"","The Ave","The avenue",""
2011,"","The Paer Tree Pub","The paer tree pub",""
2011,"","Trafalger Rd","Trafalger Rd",""
2011,"","Wake Green Rd","Wake green Rd",""
2011,"","Ward End Rd","Ward End Rd",""
2011,"","Warwick Rd","Warwick Rd",""
2011,"","Warwick Rd","Warwick Rd",""
2011,"","Warwick Rd","Warwick Rd",""
2011,"","Warwick Rd","Warwick Rd",""
2011,"","Warwick Rd","Warwick Rd",""
2011,"","Warwick Rd Tysley","Warwick Rd Tysley",""
2011,"","Wash Ln","Wash lane",""
2011,"","Washford Heath Rd","Washford Heath Rd",""
2011,"","Washwood Heath Pub","Washwood Heath pub",""
2011,"","Washwood Heath Rd  Washwood Heath  Bham","WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",""
2011,"","Washwood Heath Rd","Washwood Heath road",""
2011,"","Washwood Heath Rd","Washwood Heath Rd",""
2011,"","Washwood Heath Rd","Washwood Heath Rd",""
2011,"","Washwood Heath Rd","Washwood Heath Rd",""
2011,"","Watery Ln Middleway  Birmingham","Watery Ln Middleway, Birmingham",""
2011,"","Wawrick Rd","wawrick road",""
2011,"","Welshfarm Rd  Quinton","Welshfarm Rd, Quinton",""
2011,"","Westley Rd","Westley Rd",""
2011,"","Westley Rd  Acocks Green","Westley Rd, Acocks Green",""
2011,"","White Hart Public House","White Hart Public House",""
2011,"","White Hart Public House","White Hart Public House",""
2011,"","Whiteheart Pub  Gressell Ln","Whiteheart pub, Gressell Ln",""
2011,"","William Hill Bookmakers  Washwood Heath Rd","William Hill Bookmakers, Washwood Heath Rd",""
2011,"","William Hill Bookmakers  Washwood Heath Rd","William Hill Bookmakers, Washwood Heath Rd",""
2011,"","William Hill Washwood Heath Rd","William Hill Washwood Heath Rd",""
2011,"","Windward Rd","Windward Rd",""
2011,"","Windward Rd","Windward Rd",""
2011,"","Wood End Rd  Erdington","Wood End Rd, Erdington",""
2011,"","Woodbridge Rd  Moseley","Woodbridge road, moseley",""
2011,"","Wright St","Wright St",""
2011,"","Yardley Green Rd","yardley green road",""
