"Year","Area","Street","Street.2"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Lower Parade  Sutton Coldfield Town Centre","Lower Parade, Sutton Coldfield town centre"
2011,"Birmingham","Lower Parade  Sutton Coldfield Town Centre","Lower Parade, Sutton Coldfield town Centre"
2011,"Birmingham","Lower Parade  Sutton Coldfield ","Lower Parade, Sutton Coldfield."
2011,"Birmingham","Lydham Close","lydham close"
2011,"Birmingham","Mill St",""
2011,"Birmingham","Mill St  Sutton Coldfield","Mill St, Sutton Coldfield"
2011,"Birmingham","Moor Hall Hotel","moor hall hotel"
2011,"Birmingham","Mulberry Court Carpark  Kings Rd  Kingstanding  Birmingham","Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham"
2011,"Birmingham","Newhall Walk Car Park","newhall walk car park"
2011,"Birmingham","Newhall Walk Car Park","newhall walk car park"
2011,"Birmingham","O S H A","O/S H/A"
2011,"Birmingham","O S Litten Tree","O/s Litten Tree"
2011,"Birmingham","O S Litten Tree  S C Town Centre","O/S Litten Tree, S/C Town Centre"
2011,"Birmingham","O S Moomoo Bar  S C Town Centre","O/S MooMoo Bar, S/c Town Centre"
2011,"Birmingham","O S Moomoo Bar  South Parade","o/s moomoo bar, South parade"
2011,"Birmingham","O S Retro","o/s retro"
2011,"Birmingham","O S Retro   South Parade","O/S Retro , South parade"
2011,"Birmingham","O S Retros","O/S Retros"
2011,"Birmingham","O S Royal Hotel  Lichfield Rd","O/S Royal Hotel, Lichfield Rd"
2011,"Birmingham","O S Temple Bar","o/s temple bar"
2011,"Birmingham","O S Temple Bar","O/S Temple Bar"
2011,"Birmingham","O S Temple Bar  High St","O/S Temple Bar, High St"
2011,"Birmingham","O S Temple Bar  Lower Parade Sutton Coldfield ","O/s Temple Bar, Lower Parade Sutton Coldfield."
2011,"Birmingham","O S Temple Bar  S C Town Centre","O/S Temple Bar, S/C Town Centre"
2011,"Birmingham","O S Temple Bar  Sutton Coldfield  West Milands","o/s temple bar, sutton coldfield, west milands"
2011,"Birmingham","O S The Hairy Lemon","o/s the hairy lemon"
2011,"Birmingham","On Pavement Outside The Royal Hotel","On pavement outside The Royal Hotel"
2011,"Birmingham","Ourtside Royal Pub  Lichfield Rd  Sutton Coldfield","Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield"
2011,"Birmingham","Outside Glendale Tower  Lyndhurst Estate","outside Glendale Tower, Lyndhurst Estate"
2011,"Birmingham","Outside Litten Tree Pub  Birmingham Rd  Sutton Coldfield ","Outside Litten Tree pub, Birmingham Rd, Sutton Coldfield`"
2011,"Birmingham","Outside Moo Moo Club  Town Centre  Sutton Coldfield","Outside Moo Moo Club, Town Centre, Sutton Coldfield"
2011,"Birmingham","Outside Moo Moo Night Club  South Parade","Outside Moo Moo night club, South Parade"
2011,"Birmingham","Outside Temple Parade  Lower Parade","Outside Temple Parade, Lower Parade"
2011,"Birmingham","Outside The Temple Bar  Lower Parade  Sc","Outside the Temple Bar, Lower Parade, SC"
2011,"Birmingham","Parade   Sutton Coldfield","PARADE . SUTTON COLDFIELD"
2011,"Birmingham","Parade Sc","parade SC"
2011,"Birmingham","Parade Sutton Coldfield","parade sutton coldfield"
2011,"Birmingham","Parade Sutton Coldfield","parade sutton coldfield"
2011,"Birmingham","Parade Sutton Coldfield","PARADE SUTTON COLDFIELD"
2011,"Birmingham","Parade Sutton Town","parade sutton town"
2011,"Birmingham","Parade  Sutton Coldfield","Parade, Sutton Coldfield"
2011,"Birmingham","Parade  Sutton Coldfield","Parade, Sutton Coldfield"
2011,"Birmingham","Parade  Sutton Town Centre","Parade, Sutton Town Centre"
2011,"Birmingham","Parkeston Crescent  Kinsgatnding  B Ham","Parkeston Crescent, Kinsgatnding, B'ham"
2011,"Birmingham","Plants Grove Erdington","PLANTS GROVE ERDINGTON"
2011,"Birmingham","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham"
2011,"Birmingham","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham"
2011,"Birmingham","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham"
2011,"Birmingham","Queen St","queen street"
2011,"Birmingham","Queen St","queen street"
2011,"Birmingham","Queen St","queen street"
2011,"Birmingham","Queen St","queen street"
2011,"Birmingham","Queen St Sutton Coldfield Town Centre","Queen St Sutton Coldfield Town centre"
2011,"Birmingham","Queslett Rd East",""
2011,"Birmingham","Redacre Rd Boldmere","REDACRE RD BOLDMERE"
2011,"Birmingham","Reservoir Rd","RESERVOIR ROAD"
2011,"Birmingham","Ridgeway",""
2011,"Birmingham","Slade Rd  Erdington  B Ham","Slade Rd, Erdington, B'ham"
2011,"Birmingham","Slade Rd  Erdington  B Ham","Slade Rd, Erdington, B'ham"
2011,"Birmingham","Soth Parade  Sutton Coldfield","Soth parade, Sutton Coldfield"
2011,"Birmingham","Soth Parade  Sutton Coldfield","Soth parade, Sutton Coldfield"
2011,"Birmingham","South Parade","south parade"
2011,"Birmingham","South Parade","SOUTH PARADE"
2011,"Birmingham","South Parade","SOUTH PARADE"
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade","SOUTH PARADE"
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade","south parade"
2011,"Birmingham","South Parade","south parade"
2011,"Birmingham","South Parade",""
2011,"Birmingham","South Parade        Town Centre  Sutton Coldfield","South Parade ¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º town centre, Sutton Coldfield"
