"","Year","Area","Street","Street.2"
"292",2011,"","Hairy Lemon Pub  Sutton Coldfield","hairy lemon pub .sutton coldfield"
"293",2011,"","Hairy Lemon Pub  Sutton Coldfield","hairy lemon pub .sutton coldfield"
"294",2011,"","Hermatige Rd","Hermatige Rd"
"295",2011,"","Hermatige Rd","Hermatige Rd"
"296",2011,"","Hermitage Drive","HERMITAGE DRIVE"
"297",2011,"","High St","High St"
"298",2011,"","High St Erdington","high street erdington"
"299",2011,"","High St  Erdington","high street, erdington"
"300",2011,"","High St  Erdington","High St, Erdington"
"301",2011,"","High St  S C","High St, S/C"
"302",2011,"","High St  S C","High St, S/C"
"303",2011,"","Hight St Erdington","Hight St ErdINGTON"
"304",2011,"","Hunton Hill","HUNTON HILL"
"305",2011,"","Kfc Retail Outlet   Erdington High St","KFC retail outlet , Erdington High street"
"306",2011,"","Kingsbury Rd  Erdington  B Ham","Kingsbury Rd, Erdington, B'ham"
"307",2011,"","Kingstanding Circle","Kingstanding Circle"
"308",2011,"","Ladywell Walk  Birmingham","Ladywell Walk, Birmingham"
"309",2011,"","Landsdown Rd","Landsdown Rd"
"310",2011,"","Lichfield Rd  Mere Green","LICHFIELD ROAD, MERE GREEN"
"311",2011,"","Lichfield Rd  Sutton Coldfield","LICHFIELD ROAD, SUTTON COLDFIELD"
"312",2011,"","Lindridge Rd  Sutton Coldfield","Lindridge Rd, Sutton Coldfield"
"313",2011,"","Little Aston Ln","little aston lane"
"314",2011,"","Longford Rd","LONGFORD ROAD"
"315",2011,"","Longford Rd  Kingstanding  B Ham","Longford Rd, Kingstanding, B'ham"
"316",2011,"","Lower Parade","lower parade"
"317",2011,"","Lower Parade","LOWER PARADE"
"318",2011,"","Lower Parade","lower parade"
"319",2011,"","Lower Parade","lower parade"
"320",2011,"","Lower Parade","lower parade"
"321",2011,"","Lower Parade","lower parade"
"322",2011,"","Lower Parade","LOWER PARADE"
"323",2011,"","Lower Parade","Lower Parade"
"324",2011,"","Lower Parade","Lower Parade"
"325",2011,"","Lower Parade","LOWER PARADE"
"326",2011,"","Lower Parade","Lower Parade"
"327",2011,"","Lower Parade","LOWER PARADE"
"328",2011,"","Lower Parade","Lower Parade"
"329",2011,"","Lower Parade","LOWER PARADE"
"330",2011,"","Lower Parade","LOWER PARADE"
"331",2011,"","Lower Parade","Lower Parade"
"332",2011,"","Lower Parade","Lower Parade"
"333",2011,"","Lower Parade","Lower Parade"
"334",2011,"","Lower Parade","LOWER PARADE"
"335",2011,"","Lower Parade Sc","lower parade SC"
"336",2011,"","Lower Parade Sutton","LOWER PARADE SUTTON"
"337",2011,"","Lower Parade Sutton Coldfield","Lower Parade Sutton Coldfield"
"338",2011,"","Lower Parade ","lower parade,"
"339",2011,"","Lower Parade  Suton Coldfield","Lower parade, Suton Coldfield"
"340",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"341",2011,"","Lower Parade  Sutton Coldfield","lower parade, sutton coldfield"
"342",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"343",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"344",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"345",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
